recall,precision,threshold
1.0,0.10978043912175649,0.04878153602208366
1.0,0.10981697171381032,0.05971453669353124
1.0,0.10985352862849534,0.06173135831068557
1.0,0.10989010989010989,0.061837831604753646
1.0,0.10992671552298468,0.06252793660233036
1.0,0.10996334555148284,0.06387789383508577
1.0,0.11,0.06465817575116721
1.0,0.11007338225483655,0.06479252492965036
1.0,0.11011011011011011,0.06546245108456426
0.996969696969697,0.1099966566365764,0.06611839944448666
0.996969696969697,0.11003344481605351,0.06710261165282772
0.996969696969697,0.11007025761124122,0.06807367159956637
0.996969696969697,0.11010709504685408,0.06825324323334113
0.996969696969697,0.11014395714763978,0.0684360503076014
0.996969696969697,0.11029165269862555,0.06857767376061082
0.996969696969697,0.11032863849765258,0.06928383728092685
0.9939393939393939,0.11047490737622095,0.06936204699831365
0.9939393939393939,0.11062394603709949,0.06938102625729785
0.9939393939393939,0.1106612685560054,0.06997520966347091
0.9939393939393939,0.11073598919648886,0.07075630675798197
0.9939393939393939,0.11077338736913205,0.07101246728049418
0.9939393939393939,0.1108482595471443,0.07142888837083332
0.9939393939393939,0.11088573360378634,0.0715508123065754
0.990909090909091,0.11065989847715736,0.07161954719518372
0.990909090909091,0.110734845919404,0.07178465781410928
0.990909090909091,0.11077235772357724,0.0722249519800978
0.990909090909091,0.11080989495086412,0.07231756062165677
0.990909090909091,0.11084745762711865,0.07241756995260475
0.990909090909091,0.11107336956521739,0.07256679103594445
0.9878787878787879,0.11080897348742352,0.07267069136411342
0.9878787878787879,0.11084665079904794,0.07287643122626464
0.9878787878787879,0.1108843537414966,0.0731861119215004
0.9878787878787879,0.11092208234093229,0.07331079850330434
0.9818181818181818,0.11118737131091283,0.07335815317480866
0.9818181818181818,0.11122554067971163,0.0734131907884183
0.9818181818181818,0.11130195809000344,0.07403915859169878
0.9787878787878788,0.1110729023383769,0.07408694612912162
0.9787878787878788,0.1111111111111111,0.07416518220438967
0.9787878787878788,0.11114934618031659,0.07445679958701693
0.9787878787878788,0.11118760757314974,0.07493253634156471
0.9787878787878788,0.11137931034482759,0.0751113650463533
0.9787878787878788,0.11141773025181097,0.07513179046441244
0.9787878787878788,0.11161022805805114,0.0752838728630218
0.9787878787878788,0.11164880746629796,0.0755704024820822
0.9787878787878788,0.11168741355463348,0.07569881938286475
0.9757575757575757,0.11149584487534626,0.07577121383303323
0.9757575757575757,0.11161178509532062,0.07589994395554965
0.9757575757575757,0.11165048543689321,0.07594511268100174
0.9757575757575757,0.11188325225851285,0.07610100615073453
0.9757575757575757,0.11192214111922141,0.07620955091533659
0.9757575757575757,0.11196105702364395,0.07640882455183487
0.9757575757575757,0.11203897007654837,0.07661167918320638
0.9666666666666667,0.1117338003502627,0.076768827248857
0.9666666666666667,0.11212653778558876,0.07687824528271853
0.9666666666666667,0.11228440689897923,0.07742101665149716
0.9666666666666667,0.11236350827756252,0.07755231448405538
0.9484848484848485,0.11381818181818182,0.07763907930628983
0.9454545454545454,0.11361981063364894,0.07766013438186543
0.9454545454545454,0.11370262390670553,0.0778900234422468
0.9454545454545454,0.11374407582938388,0.07809647793601543
0.9454545454545454,0.1137855579868709,0.078278231935605
0.9454545454545454,0.11391018619934283,0.07828205789411953
0.9454545454545454,0.1139517896274653,0.07831925352849554
0.9424242424242424,0.1144223693892568,0.07845194513975061
0.9424242424242424,0.11446448288553551,0.07878031704314607
0.9424242424242424,0.11450662739322533,0.07925985546689636
0.9424242424242424,0.11480251015134736,0.07944812450269921
0.9424242424242424,0.11484490398818316,0.07946962790695129
0.9424242424242424,0.11552748885586925,0.07962973498871559
0.9424242424242424,0.11565637783562663,0.08006656085018682
0.9393939393939394,0.11554230339172568,0.08014277020367122
0.9393939393939394,0.11580127007844603,0.08027828219690855
0.9393939393939394,0.11610486891385768,0.08032583002373976
0.9393939393939394,0.11627906976744186,0.08037732298446097
0.9393939393939394,0.11632270168855535,0.08060419121830413
0.9393939393939394,0.11645379413974455,0.08081395075638274
0.9393939393939394,0.11649755730928223,0.08102747436366263
0.9303030303030303,0.11835003855050116,0.08119288378814797
0.9242424242424242,0.11858475894245724,0.08130805207093207
0.9242424242424242,0.11904761904761904,0.08139864799530869
0.9242424242424242,0.11909410386567747,0.08162295872209356
0.9242424242424242,0.119140625,0.08187932446189293
0.9242424242424242,0.11937377690802348,0.08201751095301754
0.9090909090909091,0.12264922322158626,0.08210882672658758
0.906060606060606,0.12254098360655738,0.08259020028363086
0.906060606060606,0.12259122591225913,0.08278147343873998
0.906060606060606,0.12274220032840723,0.08282464288986259
0.9,0.12272727272727273,0.08296428061519157
0.9,0.12287960281340504,0.0830951284139993
0.9,0.12293046357615894,0.08330983212177177
0.9,0.12298136645962733,0.08373625747550852
0.9,0.12303231151615576,0.08381443336161921
0.9,0.1234927234927235,0.08396117180923836
0.9,0.12354409317803661,0.08401253391992662
0.9,0.1236984589754269,0.0840351599486871
0.896969696969697,0.12478920741989882,0.08420362380377525
0.896969696969697,0.125,0.0842335625383237
0.896969696969697,0.12505280946345584,0.08432711894752569
0.896969696969697,0.12515856236786468,0.08437492171203338
0.896969696969697,0.12521150592216582,0.08466323262550066
0.8939393939393939,0.12547851977881752,0.0847434141641973
0.8939393939393939,0.12569237324243715,0.08482029576252832
0.8939393939393939,0.1257995735607676,0.08488598743202301
0.8939393939393939,0.12606837606837606,0.08493601231500839
0.8939393939393939,0.1263924592973436,0.08520353887740116
0.8939393939393939,0.1264466352336048,0.08522886908473296
0.8909090909090909,0.12634293081220455,0.08525431626986535
0.8878787878787879,0.12596732588134135,0.08544954506522681
0.8878787878787879,0.12629310344827585,0.0856741750734365
0.8606060606060606,0.12633451957295375,0.08584818413146975
0.8575757575757575,0.1267921146953405,0.08596933789029373
0.8545454545454545,0.12685560053981107,0.08606464100303637
0.8545454545454545,0.1269126912691269,0.08657027446048587
0.8545454545454545,0.12719891745602166,0.08671563005808136
0.8090909090909091,0.12954876273653565,0.08681168191268263
0.806060606060606,0.12918892666342885,0.08681806275693725
0.806060606060606,0.1292517006802721,0.08683499033510175
0.806060606060606,0.1293774319066148,0.08717218326340358
0.806060606060606,0.12944038929440388,0.08731800375453834
0.806060606060606,0.12950340798442064,0.08751918163408942
0.806060606060606,0.12975609756097561,0.08756458587071207
0.806060606060606,0.131163708086785,0.08771145065214564
0.806060606060606,0.13129318854886476,0.08787208647507062
0.806060606060606,0.13135802469135802,0.08797955794349356
0.806060606060606,0.13142292490118576,0.08805126629228816
0.806060606060606,0.1314878892733564,0.08807487543595881
0.803030303030303,0.1313181367690783,0.0882818963390788
0.803030303030303,0.1314484126984127,0.08854645276196114
0.803030303030303,0.1315136476426799,0.08860554847795102
0.803030303030303,0.1323015476784823,0.08873021587819736
0.803030303030303,0.13236763236763235,0.08873126413948172
0.803030303030303,0.13243378310844578,0.0887707766579829
0.803030303030303,0.1325662831415708,0.08881387538746241
0.803030303030303,0.1326990485728593,0.08883766908987646
0.7787878787878788,0.13172731932342388,0.08896263120307055
0.7757575757575758,0.13128205128205128,0.08901482483774
0.7757575757575758,0.13161953727506426,0.08904630787160842
0.7757575757575758,0.13175501801338138,0.08934856482564894
0.7757575757575758,0.13182286302780638,0.08937707102929468
0.7757575757575758,0.13189077794951057,0.08949812823804501
0.7757575757575758,0.13284898806434872,0.08958244059979241
0.7757575757575758,0.13340281396560708,0.0897089418168219
0.7757575757575758,0.1334723670490094,0.08973235692806387
0.7727272727272727,0.13364779874213836,0.08978495764894227
0.7727272727272727,0.13406940063091483,0.08991583481598625
0.7727272727272727,0.13413992635455024,0.08996649440177686
0.7696969696969697,0.13375460768825698,0.0900424892229742
0.7696969696969697,0.13382507903055849,0.09009288735828304
0.7696969696969697,0.13417855256207079,0.09015002775632791
0.7696969696969697,0.13424947145877378,0.0902164370778582
0.7696969696969697,0.1343204653622422,0.09032491379756846
0.7696969696969697,0.13460519342872285,0.09056109107845925
0.7454545454545455,0.13659078289838977,0.09074404065167713
0.7424242424242424,0.13771781899943789,0.09087141689624831
0.7424242424242424,0.1383399209486166,0.09097161344641556
0.7424242424242424,0.1384180790960452,0.09112362186991253
0.7424242424242424,0.13849632560768796,0.0911953169821358
0.7424242424242424,0.13857466063348417,0.09121968481438952
0.7424242424242424,0.1386530843237125,0.0913564676433476
0.7424242424242424,0.13873159682899208,0.0915031892512411
0.7393939393939394,0.13855763770584895,0.09165599634861805
0.6696969696969697,0.14258064516129032,0.09168611280899434
0.6696969696969697,0.14267269205939315,0.09175306008747623
0.6696969696969697,0.14276485788113696,0.091756970678545
0.6696969696969697,0.1429495472186287,0.09176367848610015
0.6696969696969697,0.143042071197411,0.09178147343094968
0.6696969696969697,0.14332036316472113,0.09218980323816515
0.6696969696969697,0.14341336794289422,0.09228922055390193
0.6696969696969697,0.14359974009096815,0.09250069113817144
0.6696969696969697,0.14369310793237972,0.0925051424739704
0.6696969696969697,0.14378659726740403,0.09254841762172857
0.6666666666666666,0.14473684210526316,0.09269812412852903
0.6666666666666666,0.1448321263989467,0.09270279210377239
0.6666666666666666,0.14502307185234015,0.09280234757743926
0.6666666666666666,0.14511873350923482,0.09287163854924967
0.6636363636363637,0.14474553866490417,0.09288494995685102
0.6636363636363637,0.14484126984126985,0.09305997284114748
0.6636363636363637,0.14503311258278145,0.09308478788550348
0.6636363636363637,0.14522546419098142,0.09330237980932872
0.6606060606060606,0.1449468085106383,0.0934049813951449
0.6575757575757576,0.14437791084497673,0.09356989515581281
0.6575757575757576,0.14447403462050598,0.09364254720029945
0.6575757575757576,0.14534494306764903,0.0938162013131258
0.6575757575757576,0.14544235924932977,0.09386149730548814
0.6575757575757576,0.14563758389261744,0.0938865039560113
0.6424242424242425,0.14610613370089592,0.09390930209322336
0.6424242424242425,0.14620689655172414,0.09401783513117958
0.6424242424242425,0.14630779848171152,0.0940726883619765
0.6424242424242425,0.14661134163208853,0.09410577548305515
0.6393939393939394,0.14642609299097847,0.09442342607233084
0.6393939393939394,0.14652777777777778,0.09458060216581579
0.6363636363636364,0.14705882352941177,0.09466920467986355
0.6363636363636364,0.14820042342978124,0.0948267470527541
0.6303030303030303,0.1478322672352523,0.09488202280428985
0.6303030303030303,0.1480427046263345,0.09496017083522812
0.6303030303030303,0.14814814814814814,0.09520560512578338
0.6272727272727273,0.14764621968616262,0.09526564870425007
0.6272727272727273,0.14775160599571735,0.09556873781178245
0.6272727272727273,0.14785714285714285,0.09569758465446583
0.6090909090909091,0.14650145772594753,0.09587022142009505
0.6090909090909091,0.14660831509846828,0.095889816765724
0.6060606060606061,0.14792899408284024,0.09596235081024242
0.603030303030303,0.1474074074074074,0.09602365326558394
0.5969696969696969,0.14625092798812175,0.09631096927391117
0.5969696969696969,0.14635958395245172,0.09653328530150679
0.5969696969696969,0.14657738095238096,0.09668743635922541
0.593939393939394,0.14626865671641792,0.096847978054672
0.5606060606060606,0.15251442704039572,0.09695406169769565
0.5606060606060606,0.15264026402640263,0.09711499850735429
0.5606060606060606,0.152766308835673,0.09715560639796654
0.5606060606060606,0.15301902398676592,0.0973199282017228
0.5575757575757576,0.15257048092868988,0.0975132213991873
0.5575757575757576,0.15269709543568466,0.09774004945317137
0.5545454545454546,0.15199335548172757,0.09778550967735948
0.5545454545454546,0.15224625623960067,0.09812504312280905
0.5545454545454546,0.15262718932443703,0.0983489423255505
0.5545454545454546,0.15275459098497496,0.09848583722345025
0.5545454545454546,0.15288220551378445,0.09857750203198579
0.5545454545454546,0.15313807531380752,0.09861407004561873
0.5545454545454546,0.15326633165829145,0.09886956573232486
0.5545454545454546,0.1535234899328859,0.0990735811622229
0.5515151515151515,0.15294117647058825,0.09911719823960076
0.5515151515151515,0.15332771693344566,0.09916477356070526
0.5515151515151515,0.15358649789029535,0.09919103844974178
0.5454545454545454,0.15437392795883362,0.09921498363019235
0.5454545454545454,0.15450643776824036,0.09932897636007457
0.5454545454545454,0.15463917525773196,0.09942133936914938
0.5393939393939394,0.15397923875432526,0.09966640226351701
0.5393939393939394,0.15411255411255412,0.09992002832585875
0.5333333333333333,0.15331010452961671,0.10001308026389982
0.5303030303030303,0.15310586176727908,0.10017853153010389
0.5303030303030303,0.15377855887521968,0.10019479904343682
0.5303030303030303,0.15391380826737028,0.10030704592760456
0.5303030303030303,0.15404929577464788,0.10031865086986895
0.5303030303030303,0.15418502202643172,0.10042121244835234
0.5303030303030303,0.15432098765432098,0.10049556189070807
0.5303030303030303,0.15445719329214475,0.10050623060939588
0.5272727272727272,0.15384615384615385,0.10057639561203353
0.5272727272727272,0.15398230088495576,0.10063944964519704
0.5272727272727272,0.15411868910540302,0.10076608059516753
0.5272727272727272,0.15452930728241562,0.10107144703989024
0.5272727272727272,0.15466666666666667,0.1010930280132785
0.5242424242424243,0.15446428571428572,0.10127430801762045
0.5242424242424243,0.1546023235031278,0.10129488417794512
0.5242424242424243,0.1554357592093441,0.10143541831232558
0.5242424242424243,0.15557553956834533,0.10159514783198653
0.5242424242424243,0.1557155715571557,0.10160591131481611
0.5242424242424243,0.15585585585585585,0.10180245657231313
0.5242424242424243,0.15599639314697927,0.1018196387286266
0.5242424242424243,0.15613718411552346,0.10195415300260392
0.5212121212121212,0.15551537070524413,0.10197053260448866
0.5181818181818182,0.15559599636032756,0.1021323847149992
0.5181818181818182,0.1557377049180328,0.10230094341869887
0.5151515151515151,0.15755329008341057,0.10236973658392837
0.5151515151515151,0.15784586815227483,0.10241972165149571
0.5121212121212121,0.15735567970204842,0.10262392444379217
0.5121212121212121,0.15764925373134328,0.10295183446257876
0.5121212121212121,0.15779645191409897,0.10295200014055483
0.5121212121212121,0.1580916744621141,0.1031711766729346
0.5121212121212121,0.15823970037453183,0.10356525239533673
0.5121212121212121,0.1583880037488285,0.1036416614233884
0.509090909090909,0.15879017013232513,0.10365634011744804
0.5060606060606061,0.15799432355723747,0.1040223553428588
0.5060606060606061,0.1581439393939394,0.10410983121080677
0.5060606060606061,0.15829383886255924,0.10416282060629321
0.5060606060606061,0.15844402277039848,0.1044231948829914
0.5060606060606061,0.15874524714828897,0.10457216617468389
0.5060606060606061,0.15889628924833493,0.1046373394306824
0.5060606060606061,0.15904761904761905,0.10464608289330893
0.5060606060606061,0.15919923736892277,0.10476062585906619
0.5060606060606061,0.15950334288443171,0.10482437446748702
0.5060606060606061,0.15965583173996176,0.10500235085499274
0.5060606060606061,0.1598086124401914,0.10502126214416808
0.5060606060606061,0.15996168582375478,0.10518614762341752
0.503030303030303,0.15930902111324377,0.10562341323188362
0.503030303030303,0.15946205571565802,0.10571196392972382
0.503030303030303,0.1599229287090559,0.10577289288577574
0.503030303030303,0.1600771456123433,0.10579705461445003
0.503030303030303,0.16054158607350097,0.10603259275942206
0.503030303030303,0.16116504854368932,0.1061297685062113
0.503030303030303,0.1614785992217899,0.1061409647790462
0.503030303030303,0.16163583252190847,0.10641365940795398
0.5,0.16176470588235295,0.10651851561678609
0.5,0.1619234543670265,0.10655911306310445
0.5,0.16208251473477406,0.10662487930679485
0.5,0.16224188790560473,0.10741741850916658
0.5,0.1625615763546798,0.10750117661839405
0.5,0.16272189349112426,0.10757024600069331
0.5,0.16288252714708787,0.10757226009814728
0.49696969696969695,0.16205533596837945,0.10767753332778635
0.48787878787878786,0.1622983870967742,0.10772727740686065
0.48787878787878786,0.16246215943491424,0.1078223403472205
0.48787878787878786,0.16279069767441862,0.10814883464209497
0.48787878787878786,0.16295546558704455,0.10824377048574611
0.48787878787878786,0.16312056737588654,0.10825082588116722
0.48787878787878786,0.16328600405679514,0.10825285117576952
0.48787878787878786,0.1634517766497462,0.10865221974732898
0.48787878787878786,0.16361788617886178,0.1087072814908351
0.48787878787878786,0.16378433367243134,0.10875901328424131
0.48787878787878786,0.16395112016293278,0.10920019134575082
0.48787878787878786,0.16411824668705402,0.10923006645037618
0.48787878787878786,0.16428571428571428,0.10928742740421021
0.48787878787878786,0.1644535240040858,0.10935063708214819
0.48484848484848486,0.16393442622950818,0.10936070447334949
0.48484848484848486,0.1641025641025641,0.1094307934327908
0.48484848484848486,0.1652892561983471,0.10944619192560599
0.48484848484848486,0.16563146997929606,0.10957766873173412
0.48484848484848486,0.16580310880829016,0.10983014632189392
0.47878787878787876,0.16475495307612095,0.10996929462835936
0.47878787878787876,0.1649269311064718,0.10997753276551325
0.47878787878787876,0.16509926854754442,0.11024270206075067
0.47575757575757577,0.16422594142259414,0.11025061175252408
0.47575757575757577,0.16474291710388247,0.11047523262953264
0.47575757575757577,0.16491596638655462,0.11051606834025351
0.47575757575757577,0.1650893796004206,0.1105232534888876
0.47575757575757577,0.1654373024236038,0.11070216308616658
0.47575757575757577,0.16561181434599156,0.11087792251281951
0.47575757575757577,0.16578669482576558,0.11105086212155194
0.47575757575757577,0.1664899257688229,0.11125245189955682
0.47575757575757577,0.16666666666666666,0.11160233914205873
0.4696969696969697,0.1650692225772098,0.11183302733707302
0.4696969696969697,0.1652452025586354,0.11184579999501132
0.4696969696969697,0.16542155816435433,0.11202304834593123
0.4696969696969697,0.1655982905982906,0.11204050751701485
0.4666666666666667,0.16470588235294117,0.11205224918242404
0.4636363636363636,0.1639871382636656,0.11222896549030573
0.4636363636363636,0.16416309012875535,0.1123382222472405
0.4575757575757576,0.1635969664138678,0.11244818167753527
0.4575757575757576,0.16377440347071584,0.11247185930827697
0.4575757575757576,0.16395222584147665,0.11255972048838805
0.45151515151515154,0.16337719298245615,0.11285334539398723
0.4484848484848485,0.16245883644346873,0.11291036639203057
0.4484848484848485,0.16263736263736264,0.11293529034726349
0.4484848484848485,0.1628162816281628,0.11315781575935893
0.4484848484848485,0.16299559471365638,0.11339077410841752
0.4484848484848485,0.16335540838852097,0.11347859775111582
0.4484848484848485,0.164079822616408,0.11361033050983112
0.4484848484848485,0.16426193118756938,0.11366351163928481
0.4484848484848485,0.16856492027334852,0.11378525762616183
0.4484848484848485,0.16875712656784492,0.11381534194577239
0.44545454545454544,0.168,0.11415766149329465
0.44545454545454544,0.16896551724137931,0.11426560768433665
0.44545454545454544,0.16915995397008055,0.11426671680705934
0.44545454545454544,0.1693548387096774,0.11438228487292403
0.44545454545454544,0.1699421965317919,0.11457204522132809
0.44545454545454544,0.1701388888888889,0.11474314410921375
0.44545454545454544,0.17053364269141533,0.11479737830267496
0.44545454545454544,0.17093023255813952,0.11498420539733718
0.44545454545454544,0.17112922002328287,0.11502131623567904
0.44545454545454544,0.17132867132867133,0.11525988308121801
0.44545454545454544,0.17192982456140352,0.11535133315391424
0.44545454545454544,0.1721311475409836,0.11550162244518879
0.44545454545454544,0.17375886524822695,0.11592024625886142
0.44545454545454544,0.17417061611374407,0.11593301671891519
0.44545454545454544,0.17437722419928825,0.11603599417032666
0.44545454545454544,0.17458432304038005,0.11606610432663118
0.44545454545454544,0.17479191438763378,0.11624510241661207
0.44545454545454544,0.175,0.116360978899901
0.44242424242424244,0.17548076923076922,0.11659641745733863
0.44242424242424244,0.17611580217129072,0.11666331908143004
0.44242424242424244,0.17632850241545894,0.1171997390352023
0.44242424242424244,0.17696969696969697,0.11720840380199217
0.44242424242424244,0.17718446601941748,0.11749711085607134
0.44242424242424244,0.17761557177615572,0.11776861344632283
0.4393939393939394,0.17661388550548113,0.11777770564991939
0.43636363636363634,0.17560975609756097,0.11801946292143212
