threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.34,0.6536189880003902,0.20416696863856337,0.016304347826086956,0.2,0.03015075376884422,0.9910246821241586,0.10351005043200734,0.3558987040398563,1325,12,181,3,0.009861932938856016,917.0,0.6028928336620645
0.345,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.14285714285714285,0.020202020202020204,0.9910246821241586,0.10351005043200734,0.3558987040398563,1325,12,182,2,0.009204470742932281,922.0,0.6061801446416831
0.35,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.16666666666666666,0.02040816326530612,0.9925205684367988,0.10351005043200734,0.3558987040398563,1327,10,182,2,0.007889546351084813,920.0,0.6048652202498357
0.355,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2,0.020618556701030927,0.994016454749439,0.10351005043200734,0.3558987040398563,1329,8,182,2,0.006574621959237344,918.0,0.6035502958579881
0.36,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2,0.020618556701030927,0.994016454749439,0.10351005043200734,0.3558987040398563,1329,8,182,2,0.006574621959237344,918.0,0.6035502958579881
0.365,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2,0.020618556701030927,0.994016454749439,0.10351005043200734,0.3558987040398563,1329,8,182,2,0.006574621959237344,918.0,0.6035502958579881
0.37,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2222222222222222,0.02072538860103627,0.9947643979057592,0.10351005043200734,0.3558987040398563,1330,7,182,2,0.005917159763313609,917.0,0.6028928336620645
0.375,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2222222222222222,0.02072538860103627,0.9947643979057592,0.10351005043200734,0.3558987040398563,1330,7,182,2,0.005917159763313609,917.0,0.6028928336620645
0.38,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2222222222222222,0.02072538860103627,0.9947643979057592,0.10351005043200734,0.3558987040398563,1330,7,182,2,0.005917159763313609,917.0,0.6028928336620645
0.385,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2222222222222222,0.02072538860103627,0.9947643979057592,0.10351005043200734,0.3558987040398563,1330,7,182,2,0.005917159763313609,917.0,0.6028928336620645
0.39,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2857142857142857,0.020942408376963352,0.9962602842183994,0.10351005043200734,0.3558987040398563,1332,5,182,2,0.0046022353714661405,915.0,0.6015779092702169
0.395,0.6536189880003902,0.20416696863856337,0.010869565217391304,0.2857142857142857,0.020942408376963352,0.9962602842183994,0.10351005043200734,0.3558987040398563,1332,5,182,2,0.0046022353714661405,915.0,0.6015779092702169
0.4,0.6536189880003902,0.20416696863856337,0.005434782608695652,0.16666666666666666,0.010526315789473684,0.9962602842183994,0.10351005043200734,0.3558987040398563,1332,5,183,1,0.0039447731755424065,920.0,0.6048652202498357
0.405,0.6536189880003902,0.20416696863856337,0.005434782608695652,0.16666666666666666,0.010526315789473684,0.9962602842183994,0.10351005043200734,0.3558987040398563,1332,5,183,1,0.0039447731755424065,920.0,0.6048652202498357
0.41,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9977561705310396,0.10351005043200734,0.3558987040398563,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.415,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9977561705310396,0.10351005043200734,0.3558987040398563,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.42,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9977561705310396,0.10351005043200734,0.3558987040398563,1334,3,184,0,0.0019723865877712033,923.0,0.6068376068376068
0.425,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9985041136873598,0.10351005043200734,0.3558987040398563,1335,2,184,0,0.0013149243918474688,922.0,0.6061801446416831
0.43,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.435,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.44,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.445,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.45,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.455,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.46,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.465,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,0.9992520568436799,0.10351005043200734,0.3558987040398563,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.47,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.475,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.48,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.485,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.49,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.495,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.5,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.505,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.51,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.515,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.52,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.525,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.53,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.535,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.54,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.545,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.55,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.555,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.56,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.565,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.57,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.575,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.58,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.585,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.59,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.595,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.6,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.605,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.61,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.615,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.62,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.625,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.63,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.635,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.64,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.645,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.65,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.655,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.66,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.665,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.67,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.675,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.68,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.685,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.69,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.695,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.7,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.705,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.71,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.715,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.72,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.725,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.73,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.735,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.74,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.745,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.75,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.755,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.76,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.765,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.77,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.775,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.78,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.785,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.79,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.795,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
0.8,0.6536189880003902,0.20416696863856337,0.0,0.0,0.0,1.0,0.10351005043200734,0.3558987040398563,1337,0,184,0,0.0,920.0,0.6048652202498357
